phone_number,email,status
33480000,,FAILED
66040000,,FAILED
30040000,,FAILED
55540000,,FAILED
70150000,,FAILED
60110000,,FAILED
71470000,,FAILED
55390000,,FAILED
66370000,,ERROR
50260000,,ERROR
33480001,,ERROR
66040001,,ERROR
30040001,,ERROR
55540001,,ERROR
70150001,,ERROR
60110001,,ERROR
71470001,,ERROR
55390001,,ERROR
66370001,,ERROR
50260001,,ERROR
33480002,,ERROR
66040002,,FAILED
30040002,,FAILED
55540002,,FAILED
70150002,,FAILED
60110002,,FAILED
71470002,,FAILED
55390002,,pending
66370002,,pending
50260002,,pending
33480003,,pending
66040003,,pending
30040003,,pending
55540003,,pending
70150003,,pending
60110003,,pending
71470003,,pending
55390003,,pending
66370003,,pending
50260003,,pending
33480004,,pending
